Country,Death_Rate
Afghanistan,8.2
Albania,7.4
Algeria,5.1
American Samoa,..
Andorra,..
Angola,13.7
Antigua and Barbuda,6.1
Argentina,7.6
Armenia,9.2
Aruba,8.5
Australia,6.5
Austria,9.2
Azerbaijan,5.8
"Bahamas, The",6.2
Bahrain,2.3
Bangladesh,5.4
Barbados,10.6
Belarus,12.8
Belgium,9.3
Belize,5.6
Benin,9.4
Bermuda,7.6
Bhutan,6.2
Bolivia,7.4
Bosnia and Herzegovina,10.5
Botswana,7.5
Brazil,6.1
Brunei Darussalam,3
Bulgaria,15.1
Burkina Faso,9.6
Burundi,11.3
Cabo Verde,5.4
Cambodia,6.1
Cameroon,11.5
Canada,7.4
Cayman Islands,..
Central African Republic,14.5
Chad,14.1
Channel Islands,9
Chile,5.1
China,7.2
Colombia,5.9
Comoros,7.5
"Congo, Dem. Rep.",10.3
"Congo, Rep.",8.6
Costa Rica,4.8
Cote d'Ivoire,13.5
Croatia,12
Cuba,7.8
Curacao,8.8
Cyprus,6.9
Czech Republic,10
Denmark,9.1
Djibouti,8.6
Dominica,..
Dominican Republic,6.1
Ecuador,5.1
"Egypt, Arab Rep.",6.1
El Salvador,6.8
Equatorial Guinea,10.8
Eritrea,6.6
Estonia,11.8
Ethiopia,7.4
Faroe Islands,8.1
Fiji,6.9
Finland,9.6
France,8.4
French Polynesia,5.6
Gabon,8.6
"Gambia, The",8.7
Georgia,11.5
Germany,10.8
Ghana,8.9
Greece,10.5
Greenland,8.2
Grenada,7.2
Guam,4.8
Guatemala,5.4
Guinea,9.9
Guinea-Bissau,12.1
Guyana,8.1
Haiti,8.7
Honduras,5
"Hong Kong SAR, China",6.2
Hungary,12.8
Iceland,6.3
India,7.3
Indonesia,7.2
"Iran, Islamic Rep.",4.6
Iraq,5.2
Ireland,6.4
Isle of Man,..
Israel,5.2
Italy,9.8
Jamaica,5.7
Japan,10
Jordan,3.8
Kazakhstan,7.6
Kenya,8.3
Kiribati,7
"Korea, Dem. People’s Rep.",9.2
"Korea, Rep.",5.3
Kosovo,7
Kuwait,2.5
Kyrgyz Republic,6.1
Lao PDR,6.8
Latvia,14.3
Lebanon,4.6
Lesotho,14.8
Liberia,8.7
Libya,5.3
Liechtenstein,7.2
Lithuania,13.7
Luxembourg,6.9
"Macao SAR, China",4.8
"Macedonia, FYR",9.4
Madagascar,6.7
Malawi,7.9
Malaysia,4.9
Maldives,3.8
Mali,10.5
Malta,7.7
Marshall Islands,..
Mauritania,7.9
Mauritius,7.7
Mexico,4.8
"Micronesia, Fed. Sts.",6.2
Moldova,11.3
Monaco,..
Mongolia,6.1
Montenegro,10
Morocco,5.7
Mozambique,11.5
Myanmar,8.3
Namibia,7.1
Nepal,6.4
Netherlands,8.3
New Caledonia,5.3
New Zealand,6.9
Nicaragua,4.8
Niger,9.1
Nigeria,12.9
Northern Mariana Islands,..
Norway,7.9
Oman,2.7
Pakistan,7.4
Palau,..
Panama,5
Papua New Guinea,7.7
Paraguay,5.7
Peru,5.6
Philippines,6.7
Poland,9.9
Portugal,10.1
Puerto Rico,8.3
Qatar,1.5
Romania,12.7
Russian Federation,13.1
Rwanda,7.1
Samoa,5.4
San Marino,7.7
Sao Tome and Principe,6.9
Saudi Arabia,3.4
Senegal,6.2
Serbia,14.2
Seychelles,7.9
Sierra Leone,13.6
Singapore,4.7
Sint Maarten (Dutch part),..
Slovak Republic,9.5
Slovenia,9.2
Solomon Islands,5.8
Somalia,12
South Africa,12.5
South Sudan,11.6
Spain,8.5
Sri Lanka,6.8
St. Kitts and Nevis,..
St. Lucia,7.2
St. Martin (French part),4.1
St. Vincent and the Grenadines,7.1
Sudan,7.8
Suriname,7.4
Swaziland,14.4
Sweden,9.2
Switzerland,7.8
Syrian Arab Republic,5.7
Tajikistan,5.6
Tanzania,6.9
Thailand,7.9
Timor-Leste,6.9
Togo,8.9
Tonga,6
Trinidad and Tobago,9.4
Tunisia,6.2
Turkey,5.7
Turkmenistan,7.8
Turks and Caicos Islands,..
Tuvalu,..
Uganda,9.7
Ukraine,14.7
United Arab Emirates,1.6
United Kingdom,8.8
United States,8.1
Uruguay,9.3
Uzbekistan,4.9
Vanuatu,4.7
"Venezuela, RB",5.5
Vietnam,5.8
Virgin Islands (U.S.),8.2
West Bank and Gaza,3.6
"Yemen, Rep.",6.9
Zambia,9
Zimbabwe,9.8
